accession,tot_UTRs,tot_seq,num_of_tag_coding,num_of_tga_coding,num_of_taa_coding,total_number_of_ASC_coding,frequency_tag_coding,frequency_tga_coding,frequency_taa_coding,frequency_ASC_coding,tot_UTRs_OOF,tot_seq_OOF,num_of_tag_OOF,num_of_tga_OOF,num_of_taa_OOF,total_number_of_ASC_OOF,frequency_tag_OOF,frequency_tga_OOF,frequency_taa_OOF,frequency_ASC_OOF
CP003350,3288,59184,56,270,53,379,0.0028,0.0137,0.0027,0.0192,3288,59184,79,261,42,382,0.004,0.0132,0.0021,0.0194
CP001678,3201,57618,176,319,387,882,0.0092,0.0166,0.0201,0.0459,3201,57618,258,308,396,962,0.0134,0.016,0.0206,0.0501
CP006914,919,16542,82,88,164,334,0.0149,0.016,0.0297,0.0606,919,16542,68,76,156,300,0.0123,0.0138,0.0283,0.0544
CP003096,1944,34992,128,171,218,517,0.011,0.0147,0.0187,0.0443,1944,34992,142,183,196,521,0.0122,0.0157,0.0168,0.0447
CP000655,2132,38376,187,219,334,740,0.0146,0.0171,0.0261,0.0578,2132,38376,212,240,325,777,0.0166,0.0188,0.0254,0.0607
FP929048,2118,38124,150,141,612,903,0.0118,0.0111,0.0482,0.0711,2118,38124,162,127,501,790,0.0127,0.01,0.0394,0.0622
CP000481,2214,39852,38,126,19,183,0.0029,0.0095,0.0014,0.0138,2214,39852,48,124,22,194,0.0036,0.0093,0.0017,0.0146
CP002453,4347,78246,422,367,1129,1918,0.0162,0.0141,0.0433,0.0735,4347,78246,472,351,1255,2078,0.0181,0.0135,0.0481,0.0797
CP007201,3301,59418,225,322,492,1039,0.0114,0.0163,0.0248,0.0525,3301,59418,235,292,522,1049,0.0119,0.0147,0.0264,0.053
AP012200,1773,31914,160,156,404,720,0.015,0.0147,0.038,0.0677,1773,31914,134,178,445,757,0.0126,0.0167,0.0418,0.0712
CP001785,2210,39780,86,90,109,285,0.0065,0.0068,0.0082,0.0215,2210,39780,91,114,128,333,0.0069,0.0086,0.0097,0.0251
CP007128,4567,82206,90,211,49,350,0.0033,0.0077,0.0018,0.0128,4567,82206,129,317,87,533,0.0047,0.0116,0.0032,0.0195
CP000747,3579,64422,111,197,40,348,0.0052,0.0092,0.0019,0.0162,3579,64422,142,183,61,386,0.0066,0.0085,0.0028,0.018
CP002280,2282,41076,149,216,165,530,0.0109,0.0158,0.0121,0.0387,2282,41076,207,177,199,583,0.0151,0.0129,0.0145,0.0426
CP001013,4445,80010,58,335,33,426,0.0022,0.0126,0.0012,0.016,4445,80010,62,406,30,498,0.0023,0.0152,0.0011,0.0187
HE983995,841,15138,98,75,187,360,0.0194,0.0149,0.0371,0.0713,841,15138,94,64,218,376,0.0186,0.0127,0.0432,0.0745
CP000252,3219,57942,75,383,272,730,0.0039,0.0198,0.0141,0.0378,3219,57942,79,391,261,731,0.0041,0.0202,0.0135,0.0378
CP006955,2448,44064,196,253,429,878,0.0133,0.0172,0.0292,0.0598,2448,44064,190,207,481,878,0.0129,0.0141,0.0327,0.0598
CP000478,4162,74916,57,320,78,455,0.0023,0.0128,0.0031,0.0182,4162,74916,51,297,82,430,0.002,0.0119,0.0033,0.0172
CP001843,3683,66294,223,310,455,988,0.0101,0.014,0.0206,0.0447,3683,66294,224,293,436,953,0.0101,0.0133,0.0197,0.0431
CP002629,3023,54414,156,295,288,739,0.0086,0.0163,0.0159,0.0407,3023,54414,159,248,299,706,0.0088,0.0137,0.0165,0.0389
CP001681,4339,78102,323,442,1038,1803,0.0124,0.017,0.0399,0.0693,4339,78102,356,444,1109,1909,0.0137,0.0171,0.0426,0.0733
AP012304,4531,81558,85,367,80,532,0.0031,0.0135,0.0029,0.0196,4531,81558,129,350,102,581,0.0047,0.0129,0.0038,0.0214
