accession,tot_UTRs,tot_seq,num_of_tag_coding,num_of_tga_coding,num_of_taa_coding,total_number_of_ASC_coding,frequency_tag_coding,frequency_tga_coding,frequency_taa_coding,frequency_ASC_coding,tot_UTRs_non_coding,tot_seq_non_coding,num_of_tag_non_coding,num_of_tga_non_coding,num_of_taa_non_coding,total_number_of_ASC_non_coding,frequency_tag_non_coding,frequency_tga_non_coding,frequency_taa_non_coding,frequency_ASC_non_coding
CP003350,3288,59184,56,270,53,379,0.0028,0.0137,0.0027,0.0192,83,1494,4,10,2,16,0.008,0.0201,0.004,0.0321
CP001678,3201,57618,176,319,387,882,0.0092,0.0166,0.0201,0.0459,33,594,1,6,4,11,0.0051,0.0303,0.0202,0.0556
CP006914,919,16542,82,88,164,334,0.0149,0.016,0.0297,0.0606,32,576,1,4,6,11,0.0052,0.0208,0.0312,0.0573
CP003096,1944,34992,128,171,218,517,0.011,0.0147,0.0187,0.0443,44,792,5,4,7,16,0.0189,0.0152,0.0265,0.0606
CP000655,2132,38376,187,219,334,740,0.0146,0.0171,0.0261,0.0578,36,648,6,3,6,15,0.0278,0.0139,0.0278,0.0694
FP929048,2118,38124,150,141,612,903,0.0118,0.0111,0.0482,0.0711,0,0,0,0,0,0,,,,
CP000481,2214,39852,38,126,19,183,0.0029,0.0095,0.0014,0.0138,39,702,4,5,1,10,0.0171,0.0214,0.0043,0.0427
CP002453,4347,78246,422,367,1129,1918,0.0162,0.0141,0.0433,0.0735,56,1008,15,5,7,27,0.0446,0.0149,0.0208,0.0804
CP007201,3301,59418,225,322,492,1039,0.0114,0.0163,0.0248,0.0525,39,702,4,1,10,15,0.0171,0.0043,0.0427,0.0641
AP012200,1773,31914,160,156,404,720,0.015,0.0147,0.038,0.0677,0,0,0,0,0,0,,,,
CP001785,2210,39780,86,90,109,285,0.0065,0.0068,0.0082,0.0215,40,720,3,2,9,14,0.0125,0.0083,0.0375,0.0583
CP007128,4567,82206,90,211,49,350,0.0033,0.0077,0.0018,0.0128,40,720,1,0,2,3,0.0042,0,0.0083,0.0125
CP000747,3579,64422,111,197,40,348,0.0052,0.0092,0.0019,0.0162,30,540,1,2,1,4,0.0056,0.0111,0.0056,0.0222
CP002280,2282,41076,149,216,165,530,0.0109,0.0158,0.0121,0.0387,53,954,4,2,1,7,0.0126,0.0063,0.0031,0.022
CP001013,4445,80010,58,335,33,426,0.0022,0.0126,0.0012,0.016,56,1008,5,3,4,12,0.0149,0.0089,0.0119,0.0357
HE983995,841,15138,98,75,187,360,0.0194,0.0149,0.0371,0.0713,0,0,0,0,0,0,,,,
CP000252,3219,57942,75,383,272,730,0.0039,0.0198,0.0141,0.0378,38,684,6,4,8,18,0.0263,0.0175,0.0351,0.0789
CP006955,2448,44064,196,253,429,878,0.0133,0.0172,0.0292,0.0598,68,1224,1,6,17,24,0.0025,0.0147,0.0417,0.0588
CP000478,4162,74916,57,320,78,455,0.0023,0.0128,0.0031,0.0182,42,756,2,3,4,9,0.0079,0.0119,0.0159,0.0357
