accession,predicted_CT,actual_CT,predicted_CG,actual_CG,predicted_TG,actual_TG,predicted_CA,actual_CA,predicted_TT,actual_TT,predicted_TA,actual_TA,predicted_GG,actual_GG,predicted_AG,actual_AG,predicted_CC,actual_CC,predicted_GT,actual_GT,predicted_GA,actual_GA,predicted_AT,actual_AT,predicted_TC,actual_TC,predicted_AA,actual_AA,predicted_GC,actual_GC,predicted_AC,actual_AC
CP003350,0.058,0.056,0.1,0.105,0.058,0.076,0.058,0.074,0.034,0.028,0.033,0.017,0.101,0.08,0.058,0.055,0.1,0.079,0.058,0.049,0.058,0.064,0.033,0.052,0.058,0.064,0.033,0.029,0.1,0.123,0.058,0.048
CP001678,0.062,0.058,0.051,0.054,0.062,0.078,0.062,0.079,0.075,0.071,0.075,0.052,0.051,0.042,0.062,0.058,0.052,0.042,0.062,0.053,0.062,0.065,0.075,0.085,0.062,0.065,0.075,0.071,0.051,0.072,0.062,0.053
CP006914,0.059,0.059,0.047,0.055,0.061,0.059,0.061,0.059,0.078,0.077,0.081,0.072,0.048,0.05,0.064,0.063,0.045,0.046,0.061,0.059,0.064,0.07,0.081,0.078,0.059,0.065,0.084,0.081,0.047,0.048,0.061,0.06
CP003096,0.061,0.072,0.055,0.038,0.063,0.068,0.061,0.066,0.07,0.066,0.07,0.059,0.058,0.061,0.064,0.076,0.053,0.057,0.063,0.052,0.064,0.071,0.07,0.069,0.061,0.067,0.071,0.067,0.055,0.06,0.061,0.051
CP000655,0.062,0.065,0.05,0.044,0.061,0.076,0.062,0.076,0.076,0.071,0.076,0.062,0.05,0.044,0.062,0.065,0.051,0.045,0.061,0.051,0.062,0.06,0.076,0.083,0.062,0.06,0.076,0.072,0.05,0.074,0.062,0.051
FP929048,0.056,0.066,0.023,0.019,0.047,0.063,0.054,0.07,0.113,0.1,0.108,0.114,0.019,0.022,0.045,0.051,0.028,0.029,0.047,0.044,0.045,0.046,0.108,0.127,0.056,0.061,0.104,0.095,0.023,0.042,0.054,0.053
CP000481,0.055,0.046,0.112,0.149,0.055,0.056,0.055,0.056,0.027,0.026,0.027,0.014,0.112,0.082,0.055,0.045,0.112,0.081,0.055,0.06,0.055,0.072,0.027,0.036,0.055,0.072,0.027,0.027,0.112,0.119,0.055,0.06
CP002453,0.056,0.063,0.029,0.024,0.056,0.061,0.056,0.061,0.11,0.098,0.11,0.107,0.029,0.031,0.056,0.063,0.028,0.031,0.056,0.053,0.056,0.055,0.11,0.108,0.056,0.055,0.109,0.098,0.029,0.04,0.056,0.052
CP007201,0.06,0.06,0.042,0.046,0.06,0.073,0.061,0.074,0.087,0.082,0.087,0.063,0.042,0.035,0.061,0.06,0.042,0.036,0.06,0.055,0.061,0.065,0.087,0.087,0.06,0.065,0.088,0.084,0.042,0.058,0.061,0.056
AP012200,0.052,0.053,0.025,0.019,0.055,0.067,0.053,0.065,0.116,0.106,0.118,0.1,0.026,0.029,0.056,0.056,0.024,0.026,0.055,0.049,0.056,0.061,0.118,0.121,0.052,0.057,0.12,0.108,0.025,0.033,0.053,0.048
